persistence,rho,delay,seed,decision,alpha_m,transitions_before,persistence_upper,certified_upper,covered_so_far,remaining_before,block_budget,gap,num_agents,eta,updates,observations,exact_radius
0.9,0.9,2,93,4,0.0005,4454,0.9159753897832642,0.916,True,13872,2000,19,1,0.026967719247500566,71,1361,0.9654339595684516
0.9,0.9,2,93,5,0.0003333333333333333,5815,0.9113788329522123,0.912,True,11872,2000,19,1,0.027536760296585163,71,1361,0.9647254275637187
0.9,0.9,2,93,6,0.0002380952380952381,7176,0.9136228814343798,0.914,True,9872,2000,20,1,0.027801322170087277,68,1388,0.9643887593138506
0.9,0.9,2,93,7,0.00017857142857142857,8564,0.9109275427765222,0.911,True,7872,2000,19,1,0.027671237876558532,71,1361,0.9645581408295313
0.9,0.9,2,93,8,0.0001388888888888889,9925,0.9112480882757624,0.912,True,5872,2000,20,1,0.02802820182284985,68,1388,0.9641066270663489
0.9,0.9,2,93,9,0.00011111111111111112,11313,0.9112429972356278,0.912,True,3872,2000,19,1,0.027507507568637513,71,1361,0.9647618251427733
0.9,0.9,2,93,10,9.090909090909092e-05,12674,0.9108665536341783,0.911,True,1872,1872,22,1,0.028705869923353118,60,1332,0.9632532814916269
0.9,0.9,2,94,1,0.005,128,0.9703412808711063,0.971,True,19872,2000,55,1,0.026215205989270303,31,1721,0.9663393746397033
0.9,0.9,2,94,2,0.0016666666666666668,1849,0.9164158864326052,0.917,True,17872,2000,20,1,0.027358401798157204,68,1388,0.964940033803326
0.9,0.9,2,94,3,0.0008333333333333334,3237,0.9114901232499529,0.912,True,15872,2000,19,1,0.027507060921952896,71,1361,0.9647623809028664
0.9,0.9,2,94,4,0.0005,4598,0.913758234125845,0.914,True,13872,2000,19,1,0.027257635739261463,71,1361,0.9650728420361211
0.9,0.9,2,94,5,0.0003333333333333333,5959,0.9121156818646866,0.913,True,11872,2000,19,1,0.027406060721172812,71,1361,0.964888071819584
0.9,0.9,2,94,6,0.0002380952380952381,7320,0.9081073626789314,0.909,True,9872,2000,20,1,0.028348080016751362,68,1388,0.963709138323894
0.9,0.9,2,94,7,0.00017857142857142857,8708,0.9058723992385054,0.906,True,7872,2000,19,1,0.02822505648332821,71,1361,0.9638698381809534
0.9,0.9,2,94,8,0.0001388888888888889,10069,0.9046814029227049,0.905,True,5872,2000,17,1,0.02725986771066824,76,1316,0.9650908413808788
0.9,0.9,2,94,9,0.00011111111111111112,11385,0.9046035051914783,0.905,True,3872,2000,19,1,0.028287806436337035,71,1361,0.9637919153258693
0.9,0.9,2,94,10,9.090909090909092e-05,12746,0.905000520859589,0.906,True,1872,1872,19,1,0.02808242546157765,66,1278,0.9640470064418121
0.9,0.9,2,95,1,0.005,128,0.9703412808711063,0.971,True,19872,2000,55,1,0.026215205989270303,31,1721,0.9663393746397033
0.9,0.9,2,95,2,0.0016666666666666668,1849,0.9188688079139244,0.919,True,17872,2000,20,1,0.027069937201691867,68,1388,0.9652994120150371
0.9,0.9,2,95,3,0.0008333333333333334,3237,0.9123486974169244,0.913,True,15872,2000,19,1,0.027377381060451064,71,1361,0.9649237686986321
