seed,rho,delay,num_agents,updates,teacher_mse,maximum_loss,finite
20270714,0.5,0,1,984,0.1153344511985778,5.742345333099365,True
20270714,0.5,0,4,941,0.0175811480730772,4.757493019104004,True
20270714,0.5,0,16,800,0.0170048922300338,3.759018659591675,True
20270714,0.5,0,32,666,0.0238496083766222,3.807114601135254,True
20270714,0.5,8,1,984,0.153097778558731,5.691521644592285,True
20270714,0.5,8,4,941,0.0180630981922149,4.858920097351074,True
20270714,0.5,8,16,800,0.0195217262953519,3.7965407371521,True
20270714,0.5,8,32,666,0.0117372358217835,3.857151746749878,True
20270714,0.9,0,1,984,0.0597089007496833,5.5367584228515625,True
20270714,0.9,0,4,941,0.0219010282307863,5.432743072509766,True
20270714,0.9,0,16,800,0.0243425369262695,4.4677510261535645,True
20270714,0.9,0,32,666,0.0726214498281478,5.1470561027526855,True
20270714,0.9,8,1,984,0.1160766035318374,5.51814603805542,True
20270714,0.9,8,4,941,0.0371331349015235,5.689869403839111,True
20270714,0.9,8,16,800,0.0251993406563997,4.618120670318604,True
20270714,0.9,8,32,666,0.034846231341362,5.2777509689331055,True
20270715,0.0,0,1,984,0.1531390994787216,3.82233452796936,True
20270715,0.0,0,4,941,0.0399074405431747,2.4630727767944336,True
20270715,0.0,0,16,800,0.0226624272763729,1.3936725854873655,True
20270715,0.0,0,32,666,0.0060323788784444,1.1822073459625244,True
20270715,0.0,8,1,984,0.430025577545166,3.7597320079803462,True
20270715,0.0,8,4,941,0.05131097137928,2.4431769847869877,True
20270715,0.0,8,16,800,0.0223106276243925,1.3973443508148191,True
20270715,0.0,8,32,666,0.0051623908802866,1.1857928037643433,True
20270715,0.25,0,1,984,0.1896883696317672,4.552491664886475,True
20270715,0.25,0,4,941,0.2907717525959015,4.299207210540772,True
20270715,0.25,0,16,800,0.0037068489473313,4.31796932220459,True
20270715,0.25,0,32,666,0.0143157560378313,2.8680624961853027,True
20270715,0.25,8,1,984,0.3691082596778869,4.799260139465332,True
20270715,0.25,8,4,941,0.2526921033859253,4.402913570404053,True
20270715,0.25,8,16,800,0.0058075874112546,4.274784088134766,True
20270715,0.25,8,32,666,0.009137600660324,2.826083183288574,True
20270715,0.5,0,1,984,0.1328326612710952,4.714437961578369,True
20270715,0.5,0,4,941,0.0796360000967979,5.993801116943359,True
20270715,0.5,0,16,800,0.0056920675560832,5.372311592102051,True
20270715,0.5,0,32,666,0.0176763124763965,3.8050618171691895,True
20270715,0.5,8,1,984,0.2664343118667602,4.374115467071533,True
20270715,0.5,8,4,941,0.046299185603857,5.891481876373291,True
20270715,0.5,8,16,800,0.0032771804835647,5.310894012451172,True
20270715,0.5,8,32,666,0.0077218287624418,3.755905151367188,True
20270715,0.9,0,1,984,0.1291079372167587,5.951452732086182,True
20270715,0.9,0,4,941,0.0186971873044967,5.960348606109619,True
20270715,0.9,0,16,800,0.0126469684764742,5.994390487670898,True
20270715,0.9,0,32,666,0.0163593143224716,5.4281744956970215,True
20270715,0.9,8,1,984,0.3006863594055176,5.827417373657227,True
20270715,0.9,8,4,941,0.0082026775926351,5.833486080169678,True
20270715,0.9,8,16,800,0.0044132154434919,5.873312950134277,True
20270715,0.9,8,32,666,0.0130665451288223,5.316070556640625,True
20270716,0.0,0,1,984,0.0922606140375137,4.775874137878418,True
20270716,0.0,0,4,941,0.0119538195431232,2.770977020263672,True
20270716,0.0,0,16,800,0.0171271413564682,1.3620589971542358,True
20270716,0.0,0,32,666,0.0082684224471449,0.9578632116317748,True
20270716,0.0,8,1,984,0.0921453014016151,5.118736743927002,True
20270716,0.0,8,4,941,0.0103624435141682,2.7748982906341557,True
20270716,0.0,8,16,800,0.0096875987946987,1.3611173629760742,True
20270716,0.0,8,32,666,0.0070025259628891,0.9571653008461,True
20270716,0.25,0,1,984,0.0351007543504238,4.766510963439941,True
20270716,0.25,0,4,941,0.0336511582136154,3.160024881362915,True
20270716,0.25,0,16,800,0.1792786419391632,2.2087032794952397,True
20270716,0.25,0,32,666,0.0285227559506893,2.486422300338745,True
20270716,0.25,8,1,984,0.039853636175394,4.931533336639404,True
20270716,0.25,8,4,941,0.0385069996118545,3.096232414245605,True
20270716,0.25,8,16,800,0.1957522332668304,2.21634840965271,True
20270716,0.25,8,32,666,0.0364840999245643,2.472097158432007,True
20270716,0.5,0,1,984,0.095048040151596,5.20395565032959,True
20270716,0.5,0,4,941,0.0604087635874748,4.074097633361816,True
20270716,0.5,0,16,800,0.3432451784610748,3.1584372520446777,True
20270716,0.5,0,32,666,0.0338087677955627,3.0995538234710693,True
20270716,0.5,8,1,984,0.1677242964506149,5.3753204345703125,True
20270716,0.5,8,4,941,0.0627652332186698,4.046816349029541,True
20270716,0.5,8,16,800,0.4344672262668609,3.1847310066223145,True
20270716,0.5,8,32,666,0.0485060736536979,3.120326280593872,True
